"","case_id","continuous_treat","binary_treat","religion","days_ate","withdraw_school","ill_2wks","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","cant_feed_fam","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","lat","lon","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","year2020","urban","district","sdate","smonth","syear"
"75","303023570150",6,1,"christianity",7,0,1,50,7,1,1,4,4,3,0,0,0,7,1,0,1,1,1,1,0,168970.234375,0,0,0,0,-15.5120000839233,35.5861015319824,26.8799991607666,31,14,224,1404,0,"rural","Zomba",17,11,2010
"76","303023570161",6,1,"christianity",6,0,1,12,7,0,1,2,1,3,0,0,0,7,1,0,1,1,1,1,0,89785.8203125,762.527221679688,0,0,762.527221679688,-15.5120000839233,35.5861015319824,27.0400009155273,31.1800003051758,14,224,1404,0,"rural","Zomba",17,11,2010
"77","303023570184",6,1,"christianity",7,1,1,46,7,3,3,7,2,7,0,7,0,7,1,0,1,2,1,1,0,470509.84375,11579.5205078125,8213.5078125,0,3366.01293945312,-15.5120000839233,35.5861015319824,26.5900001525879,30.7299995422363,13,224,1400,0,"rural","Zomba",17,11,2010
"78","303023570196",6,1,"christianity",7,0,0,19,7,0,0,7,2,1,0,1,4,7,0,0,1,1,1,1,0,75718.6171875,0,0,0,0,-15.5120000839233,35.5861015319824,26.75,30.9200000762939,15,224,1400,0,"rural","Zomba",17,11,2010
"79","303023570207",6,1,"christianity",7,0,1,35,7,0,0,4,3,5,0,0,7,0,1,0,1,1,1,1,0,112947.171875,3398.69262695312,3398.69262695312,0,0,-15.5120000839233,35.5861015319824,26.7700004577637,30.9599990844727,14,224,1400,0,"rural","Zomba",17,11,2010
"80","303023570230",6,1,"christianity",7,0,0,9,7,2,3,7,2,7,0,3,7,7,0,0,2,2,2,2,0,126006.703125,0,0,0,0,-15.5120000839233,35.5861015319824,27.0599994659424,31.25,13,224,1401,0,"rural","Zomba",17,11,2010
"81","303026010023",4,1,"christianity",7,0,1,12,7,3,2,7,2,2,0,7,7,7,1,0,2,2,2,2,0,130624.9296875,0,0,0,0,-15.4882001876831,35.556999206543,20.8500003814697,25.4699993133545,13,224,1351,0,"rural","Zomba",31,5,2010
"82","303026010024",4,1,"christianity",7,1,0,40,7,2,2,3,1,2,0,2,5,7,1,0,1,1,1,1,0,168316.703125,577.136535644531,577.136535644531,0,0,-15.4882001876831,35.556999206543,20.8600006103516,25.4799995422363,17,224,1351,0,"rural","Zomba",31,5,2010
"83","303026010044",4,1,"christianity",6,0,0,0,7,1,5,7,3,2,0,2,2,7,1,0,2,1,2,2,0,207585.8125,0,0,0,0,-15.4882001876831,35.556999206543,21.5400009155273,26.1599998474121,13,224,1361,0,"rural","Zomba",1,6,2010
"84","303026010063",4,1,"christianity",7,0,0,45,7,1,2,7,3,1,0,0,7,7,1,0,1,1,1,1,0,85133.7421875,0,0,0,0,-15.4882001876831,35.556999206543,21.3299999237061,25.8899993896484,15,224,1356,0,"rural","Zomba",3,6,2010
