"","case_id","year2020","continuous_treat","binary_treat","withdraw_school","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","days_ate","religion","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","urban","district","sdate","smonth","syear","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","lat","lon","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","ill_2wks","year_cont","cant_feed_fam"
"64","303025700407",0,0,0,1,35,7,0,2,7,0,0,0,1,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",25,"January",2017,306830.40625,2021.21765136719,377.165008544922,1644.05261230469,0,-15.38839,35.467089,10,15,13,222,1288,1,2016,1
"65","303025710010",0,1,1,0,10,7,0,2,7,2,7,1,5,7,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"October",2016,889431.3125,1565.66394042969,1565.66394042969,0,0,-15.420275,35.394941,7,11,13,217,1288,1,2016,1
"66","303025710021",0,1,1,0,0,7,0,3,3,2,7,0,3,5,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",27,"October",2016,813301.625,15656.6396484375,0,15656.6396484375,0,-15.420275,35.394941,8,11,12,217,1288,1,2016,1
"67","303025710031",0,1,1,0,18,7,0,5,6,4,7,0,7,4,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",27,"October",2016,956937.375,11702.3349609375,10698.7041015625,0,1003.63073730469,-15.420275,35.394941,8,11,15,217,1292,1,2016,1
"68","303025710052",0,1,1,1,49,7,0,1,3,1,7,0,3,1,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"October",2016,767033.75,51787.34765625,15656.6396484375,11742.4794921875,24388.228515625,-15.420275,35.394941,8,12,12,217,1294,1,2016,1
"69","303025710063",0,1,1,0,8,7,2,2,5,1,6,0,6,7,7,5.71428571428571,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"October",2016,735985.9375,1043.77600097656,1043.77600097656,0,0,-15.420275,35.394941,8,12,13,217,1294,1,2016,1
"70","303025710073",0,1,1,0,34,7,2,0,2,4,4,0,2,4,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",27,"October",2016,509489.09375,0,0,0,0,-15.420275,35.394941,8,12,13,217,1294,0,2016,1
"71","303025710094",0,1,1,0,8,7,0,7,0,2,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"October",2016,236530.703125,1304.71997070312,1304.71997070312,0,0,-15.420275,35.394941,8,12,15,218,1288,1,2016,1
"72","303025710105",0,1,1,0,12,7,1,2,7,1,7,0,7,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"October",2016,486929.6875,0,0,0,0,-15.420275,35.394941,8,12,15,217,1294,0,2016,1
"73","303025710115",0,1,1,0,8,7,2,2,7,4,7,0,5,7,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",29,"October",2016,574591.625,0,0,0,0,-15.420275,35.394941,8,11,13,217,1288,0,2016,1
"74","303025710136",0,1,1,0,35,7,0,3,2,3,5,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",29,"October",2016,494989.15625,0,0,0,0,-15.420275,35.394941,8,12,13,217,1294,1,2016,0
